Entry_DealID,Entry_Company,Entry_DealDate,Entry_DealSize,Entry_DealType,Entry_DealType2,Entry_DealType3,Exit_DealID,Exit_Company,Exit_DealDate,Exit_DealSize,Exit_DealType,Exit_DealType2,Exit_DealType3,HoldingYears,AbsDaysAfter
10199-17T,Nuveen,2007-11-13,6249.83,Buyout/LBO,Public to Private,,33014-26T,Nuveen,2014-10-01,6250.0,Merger/Acquisition,,,6.882956878850103,2514
10156-33T,Red Rock Resorts (NAS: RRR),2007-11-07,6240.0,Buyout/LBO,Public to Private,,59278-60T,Red Rock Resorts (NAS: RRR),2016-04-27,527.57,IPO,,,8.470910335386721,3094
10366-21T,Michaels Stores,2006-10-31,6000.0,Buyout/LBO,Public to Private,,33561-73T,Michaels Stores,2014-06-27,1587.22,IPO,,,7.655030800821355,2796
54159-58T,Strategic Hotels & Resorts,2015-12-11,6000.0,Buyout/LBO,Public to Private,,67611-16T,Strategic Hotels & Resorts,2016-09-29,6500.0,Merger/Acquisition,,,0.8021902806297057,293
124793-20T,Tech Data,2020-06-30,6000.0,Buyout/LBO,Public to Private,,168981-22T,Tech Data,2021-09-01,7224.4,Merger/Acquisition,,,1.1718001368925393,428
10209-07T,The Terminix International Company,2007-07-24,5500.0,Buyout/LBO,Public to Private,,32484-52T,The Terminix International Company,2014-06-26,610.3,IPO,,,6.924024640657084,2529
97430-05T,Del Monte Foods,2011-03-08,5311.01,Buyout/LBO,Public to Private,,26521-84T,Del Monte Foods,2014-02-18,1675.0,Merger/Acquisition,,,2.951403148528405,1078
17672-32T,Big Heart Pet Brands,2011-03-08,5300.0,Buyout/LBO,Secondary Buyout,Public to Private,45162-01T,Big Heart Pet Brands,2015-03-23,11300.0,Merger/Acquisition,,,4.041067761806982,1476
10156-78T,Dayforce (Business/Productivity Software) (NYS: DAY),2007-11-09,5300.0,Buyout/LBO,Secondary Buyout,Public to Private,243609-22T,Dayforce (Business/Productivity Software) (NYS: DAY),2018-04-26,531.3,IPO,PIPE,,10.461327857631758,3821
44860-42T,Informatica (NYS: INFA),2015-08-06,5300.0,Buyout/LBO,Secondary Buyout,Public to Private,181075-51T,Informatica (NYS: INFA),2021-10-27,841.0,IPO,,,6.225872689938399,2274
10306-99T,Sabre Corporation (NAS: SABR),2007-03-30,5300.0,Buyout/LBO,Public to Private,,31079-08T,Sabre Corporation (NAS: SABR),2014-04-17,627.2,IPO,PIPE,,7.049965776865161,2575
10415-80T,Neiman Marcus Group,2005-10-06,5100.0,Buyout/LBO,Public to Private,,265970-62T,Neiman Marcus Group,2024-12-23,2700.0,Merger/Acquisition,,,19.21423682409309,7018
16029-19T,IMS Health Holdings,2010-02-26,5081.15,Buyout/LBO,Public to Private,,30197-80T,IMS Health Holdings,2013-05-09,947.37,IPO,,,3.1978097193702943,1168
16971-85T,Gates Industrial Corporation (NYS: GTES),2010-09-30,5000.0,Buyout/LBO,Public to Private,,99302-68T,Gates Industrial Corporation (NYS: GTES),2018-01-25,731.5,IPO,,,7.321013004791239,2674
26224-93T,Smithfield Foods (NAS: SFD),2013-09-26,4700.0,Buyout/LBO,Add-on,Public to Private,266861-17T,Smithfield Foods (NAS: SFD),2025-01-28,521.74,IPO,,,11.340177960301164,4142
58943-89T,SolarWinds,2016-02-05,4600.0,Buyout/LBO,Public to Private,,112057-21T,SolarWinds,2018-10-19,500.0,IPO,,,2.702258726899384,987
22572-55T,Gardner Denver,2013-07-31,4564.15,Buyout/LBO,Public to Private,,83132-92T,Gardner Denver,2017-05-12,826.0,IPO,Debt Repayment,,3.780971937029432,1381
11492-74T,Orbitz,2006-08-24,4300.0,Buyout/LBO,Public to Private,,11475-46T,Orbitz,2007-07-20,510.0,IPO,,,0.9034907597535934,330
73904-59T,Rackspace Technology (NAS: RXT),2016-11-03,4300.0,Buyout/LBO,Public to Private,,135301-69T,Rackspace Technology (NAS: RXT),2020-08-05,703.5,IPO,,,3.753593429158111,1371
89335-00T,Hayward Holdings (NYS: HAYW),2017-08-04,4090.07,Buyout/LBO,Public to Private,Management Buyout,166979-71T,Hayward Holdings (NYS: HAYW),2021-03-12,684.72,IPO,,,3.6030116358658453,1316
46581-58T,Life Time Group Holdings (NYS: LTH),2015-06-10,4060.0,Buyout/LBO,Public to Private,Management Buyout,180083-17T,Life Time Group Holdings (NYS: LTH),2021-10-07,702.0,IPO,,,6.327173169062286,2311
59670-28T,Lexmark International,2016-11-29,4000.0,Buyout/LBO,Public to Private,,273161-53T,Lexmark International,2025-07-01,1500.0,Merger/Acquisition,,,8.58590006844627,3136
16894-45T,The Bountiful Company,2010-09-30,4000.0,Buyout/LBO,Public to Private,,171015-22T,The Bountiful Company,2021-08-09,5750.0,Merger/Acquisition,,,10.858316221765914,3966
17525-71T,CommScope Holding Company (NAS: COMM),2011-01-14,3900.0,Buyout/LBO,Public to Private,,26934-94T,CommScope Holding Company (NAS: COMM),2013-10-25,576.92,IPO,,,2.7789185489390826,1015
18950-32T,Pharmaceutical Product Development,2011-12-05,3900.0,Buyout/LBO,Public to Private,,129433-15T,Pharmaceutical Product Development,2020-02-06,1863.0,IPO,,,8.172484599589323,2985
10605-97T,West Technology Group,2006-10-24,3838.33,Buyout/LBO,Public to Private,,16002-37T,West Technology Group,2013-03-22,425.5,IPO,,,6.409308692676249,2341
