DealID,Company,Company_norm,DealType,DealType2,DealType3,DealDate,DealSize,DealStatus,EntryDate,HoldingYears,AbsDaysAfter,Seed_DealID,Seed_Company,Seed_DealDate,Seed_DealSize
26521-84T,Del Monte Foods,del monte foods,Merger/Acquisition,,,2014-02-18,1675.0,Completed,2011-03-08,2.951403148528405,1078,97430-05T,Del Monte Foods,2011-03-08,5311.01
45162-01T,Big Heart Pet Brands,big heart pet brands,Merger/Acquisition,,,2015-03-23,11300.0,Completed,2011-03-08,4.041067761806982,1476,17672-32T,Big Heart Pet Brands,2011-03-08,5300.0
243609-22T,Dayforce (Business/Productivity Software) (NYS: DAY),dayforce (business/productivity software) (nys: day),IPO,PIPE,,2018-04-26,531.3,Completed,2007-11-09,10.461327857631758,3821,10156-78T,Dayforce (Business/Productivity Software) (NYS: DAY),2007-11-09,5300.0
181075-51T,Informatica (NYS: INFA),informatica (nys: infa),IPO,,,2021-10-27,841.0,Completed,2015-08-06,6.225872689938399,2274,44860-42T,Informatica (NYS: INFA),2015-08-06,5300.0
31079-08T,Sabre Corporation (NAS: SABR),sabre corporation (nas: sabr),IPO,PIPE,,2014-04-17,627.2,Completed,2007-03-30,7.049965776865161,2575,10306-99T,Sabre Corporation (NAS: SABR),2007-03-30,5300.0
265970-62T,Neiman Marcus Group,neiman marcus group,Merger/Acquisition,,,2024-12-23,2700.0,Completed,2005-10-06,19.21423682409309,7018,10415-80T,Neiman Marcus Group,2005-10-06,5100.0
30197-80T,IMS Health Holdings,ims health holdings,IPO,,,2013-05-09,947.37,Completed,2010-02-26,3.1978097193702943,1168,16029-19T,IMS Health Holdings,2010-02-26,5081.15
234721-54T,IMS Health Holdings,ims health holdings,Merger/Acquisition,,,2016-10-03,10400.0,Completed,2010-02-26,6.6009582477754964,2411,16029-19T,IMS Health Holdings,2010-02-26,5081.15
99302-68T,Gates Industrial Corporation (NYS: GTES),gates industrial corporation (nys: gtes),IPO,,,2018-01-25,731.5,Completed,2010-09-30,7.321013004791239,2674,16971-85T,Gates Industrial Corporation (NYS: GTES),2010-09-30,5000.0
266861-17T,Smithfield Foods (NAS: SFD),smithfield foods (nas: sfd),IPO,,,2025-01-28,521.74,Completed,2013-09-26,11.340177960301164,4142,26224-93T,Smithfield Foods (NAS: SFD),2013-09-26,4700.0
112057-21T,SolarWinds,solarwinds,IPO,,,2018-10-19,500.0,Completed,2016-02-05,2.702258726899384,987,58943-89T,SolarWinds,2016-02-05,4600.0
83132-92T,Gardner Denver,gardner denver,IPO,Debt Repayment,,2017-05-12,826.0,Completed,2013-07-31,3.780971937029432,1381,22572-55T,Gardner Denver,2013-07-31,4564.15
118519-03T,Gardner Denver,gardner denver,Merger/Acquisition,,,2020-02-29,,Completed,2013-07-31,6.581793292265571,2404,22572-55T,Gardner Denver,2013-07-31,4564.15
11475-46T,Orbitz,orbitz,IPO,,,2007-07-20,510.0,Completed,2006-08-24,0.9034907597535934,330,11492-74T,Orbitz,2006-08-24,4300.0
44701-21T,Orbitz,orbitz,Merger/Acquisition,,,2015-09-17,1813.52,Completed,2006-08-24,9.065023956194388,3311,11492-74T,Orbitz,2006-08-24,4300.0
135301-69T,Rackspace Technology (NAS: RXT),rackspace technology (nas: rxt),IPO,,,2020-08-05,703.5,Completed,2016-11-03,3.753593429158111,1371,73904-59T,Rackspace Technology (NAS: RXT),2016-11-03,4300.0
166979-71T,Hayward Holdings (NYS: HAYW),hayward holdings (nys: hayw),IPO,,,2021-03-12,684.72,Completed,2017-08-04,3.6030116358658453,1316,89335-00T,Hayward Holdings (NYS: HAYW),2017-08-04,4090.07
180083-17T,Life Time Group Holdings (NYS: LTH),life time group holdings (nys: lth),IPO,,,2021-10-07,702.0,Completed,2015-06-10,6.327173169062286,2311,46581-58T,Life Time Group Holdings (NYS: LTH),2015-06-10,4060.0
273161-53T,Lexmark International,lexmark international,Merger/Acquisition,,,2025-07-01,1500.0,Completed,2016-11-29,8.58590006844627,3136,59670-28T,Lexmark International,2016-11-29,4000.0
171015-22T,The Bountiful Company,the bountiful company,Merger/Acquisition,,,2021-08-09,5750.0,Completed,2010-09-30,10.858316221765914,3966,16894-45T,The Bountiful Company,2010-09-30,4000.0
26934-94T,CommScope Holding Company (NAS: COMM),commscope holding company (nas: comm),IPO,,,2013-10-25,576.92,Completed,2011-01-14,2.7789185489390826,1015,17525-71T,CommScope Holding Company (NAS: COMM),2011-01-14,3900.0
129433-15T,Pharmaceutical Product Development,pharmaceutical product development,IPO,,,2020-02-06,1863.0,Completed,2011-12-05,8.172484599589323,2985,18950-32T,Pharmaceutical Product Development,2011-12-05,3900.0
170373-61T,Pharmaceutical Product Development,pharmaceutical product development,Merger/Acquisition,,,2021-12-08,16036.0,Completed,2011-12-05,10.009582477754963,3656,18950-32T,Pharmaceutical Product Development,2011-12-05,3900.0
