Vintage,ExitTypeLabel,firms,entry_spend,avg_irr,fraction_by_number,fraction_by_entry_spend
1987,IPO,1,0.0,,0.16666666666666666,0.0
1987,Sale to strategic,2,274.3,-0.06191672338048215,0.3333333333333333,0.11945303314026913
1988,Sale to strategic,2,410.0,0.0027903329646190578,0.16666666666666666,0.3118938039633335
1989,Sale to strategic,3,7976.3,0.07653565453557071,0.5,2.5111132099231837
1990,Sale to strategic,1,18.0,0.025816126023623154,0.5,0.2975206611570248
1992,Sale to strategic,1,0.0,,0.5,0.0
1993,Sale to strategic,1,166.15,0.05153145018216998,0.5,0.5255416732563657
1994,Sale to strategic,1,2000.0,-0.051610845499872715,0.5,0.9802431983375076
1995,Sale to strategic,2,67.91,0.110382936122986,0.3333333333333333,0.05612814176261043
1996,IPO,2,1960.0,-0.019944305447285093,0.3333333333333333,0.28483321271518713
1996,Other/Unknown,2,3030.0,,0.3333333333333333,0.4403288951668454
1996,Sale to strategic,2,422.62,0.010067499055552487,0.3333333333333333,0.06141643487637367
1997,Sale to strategic,6,832.76,0.11984815597130309,0.3157894736842105,0.2599410047914098
1998,Sale to strategic,7,1471.26,-0.08943860980812073,0.3181818181818182,0.20184578743673712
1999,IPO,4,2041.5,-0.21429657796767052,0.13333333333333333,0.21238899384940615
1999,Sale to strategic,12,5967.7,0.07596070462664076,0.4,0.62085417516292
2000,IPO,4,1328.68,-0.2096826111306456,0.10526315789473684,0.11018142436118358
2000,Sale to strategic,11,5153.09,0.022718971259924725,0.2894736842105263,0.4273224524049218
2001,Sale to strategic,4,54.089999999999996,0.6114523962704963,0.2,0.015451018927426773
2002,IPO,3,756.22,-0.07649673724035233,0.16666666666666666,0.34036060526955375
2002,Sale to strategic,6,329.86,0.2577844575747182,0.3333333333333333,0.14846387196082492
2003,IPO,1,4700.0,-0.8754883187195395,0.024390243902439025,0.3359941208177668
2003,Other/Unknown,1,8.5,,0.024390243902439025,0.0006076489419044719
2003,Sale to strategic,10,11238.880000000001,2.628925178222652,0.24390243902439024,0.803446298846039
2004,IPO,3,2115.3,-0.21307340447240733,0.075,0.2643279150671785
2004,Sale to strategic,13,3125.27,-0.009464157033771533,0.325,0.39053377919065896
2005,IPO,6,7267.5,-0.3554934808383986,0.14634146341463414,0.16900742237344327
2005,Sale to strategic,17,24999.1,0.14338425203958202,0.4146341463414634,0.5813599522058405
2006,IPO,7,40918.33,-0.4018532809627176,0.1111111111111111,0.5627693618716173
2006,Sale to strategic,29,45078.950000000004,-0.026271335860439313,0.4603174603174603,0.6199923585674817
2007,IPO,18,136783.24,-0.3093432653171402,0.1651376146788991,0.37377100212359643
2007,Other/Unknown,2,3230.0,-0.08579218073701955,0.01834862385321101,0.008826230003465458
2007,Sale to strategic,36,208777.83000000002,-0.05359429255926542,0.3302752293577982,0.5705019031592603
2008,IPO,5,8219.46,-0.244042598820577,0.10416666666666667,0.3199504550251286
2008,Sale to strategic,15,9298.78,0.0645103854727467,0.3125,0.36196403318205406
2009,IPO,1,571.0,-0.31143025540249625,0.025,0.04613891611524871
2009,Sale to strategic,19,3008.88,0.2635115705000653,0.475,0.24312865485262616
2010,IPO,2,5331.15,-0.30962560116695936,0.03333333333333333,0.1547974985706823
2010,Other/Unknown,2,126.3,,0.03333333333333333,0.0036672995637858957
2010,Sale to strategic,20,13605.349999999999,0.04807462488951029,0.3333333333333333,0.39505062644619504
2011,IPO,7,19045.0,-0.2726480782068955,0.10294117647058823,0.33682086029123465
2011,Sale to strategic,19,28373.31,0.08836369901011096,0.27941176470588236,0.5017969379632393
2012,Sale to strategic,17,7000.4400000000005,0.21106162606002768,0.3090909090909091,0.2535210043436283
2013,IPO,2,9264.15,-0.26996002524391655,0.03571428571428571,0.10618592942303255
2013,Other/Unknown,2,52900.0,,0.03571428571428571,0.6063411825670376
2013,Sale to strategic,12,9326.75,0.3277505091756073,0.21428571428571427,0.10690345225911377
2014,Sale to strategic,8,1013.03,0.1498655447953546,0.22857142857142856,0.059714839140178944
2015,IPO,4,11505.3,-0.3995012581909769,0.1,0.1719870904668868
2015,Other/Unknown,2,1198.0,-0.07142085680684646,0.05,0.017908314809638202
2015,Sale to strategic,10,9492.1,0.3543146165841219,0.25,0.14189275042117427
2016,IPO,4,17250.0,-0.4306012822870016,0.07142857142857142,0.10892488861719758
2016,Other/Unknown,2,15550.0,-0.2758669410798955,0.03571428571428571,0.09819026191289405
2016,Sale to strategic,10,13756.09,0.10656291938231802,0.17857142857142858,0.0868626418004722
2017,IPO,1,4090.07,-0.3910744588460392,0.016666666666666666,0.05029444495680777
2017,Sale to strategic,10,4114.82,0.03548285499570675,0.16666666666666666,0.050598788773094774
2018,Sale to strategic,4,1944.16,-0.6849684048864222,0.07407407407407407,0.018090724028152583
2019,IPO,1,6900.0,-0.6305575122678646,0.023255813953488372,0.08928528680698605
2019,Sale to strategic,6,9057.5,0.351579516631428,0.13953488372093023,0.11720311380496756
2020,Sale to strategic,4,6836.0,0.03200490768589759,0.0975609756097561,0.1092232098362243
2022,Sale to strategic,3,38534.19,-0.05857758112281408,0.05357142857142857,0.16071739815439082
