Company,EntryDate,ExitDate,HoldingYears,PairingNotes,Entry_DealType,Entry_DealType2,Entry_DealType3,Entry_DealSize,Entry_Sponsor,Exit_DealType,Exit_DealType2,Exit_DealType3,Exit_DealSize,Exit_Sponsor,EntryYear,ExitYear
1-800 contacts,2007-09-06,2012-06-04,4.744695414099931,MultipleEntriesSingleExit,buyout/lbo,public to private,,340.0,fenway partners(timothy mayhew),merger/acquisition,,,900.0,elevance health (nys: elv)(angela braly),2007,2012
1091 pictures,2019-01-24,2022-03-04,3.1074606433949348,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,,"dimensional associates, jds sports",merger/acquisition,,,15.55,chicken soup for the soul entertainment(elana sofko),2019,2022
1370 broadway,2012-04-30,2014-04-07,1.9356605065023955,SingleEntrySingleExit,buyout/lbo,asset acquisition,,125.0,normandy real estate partners,merger/acquisition,,,186.0,florida state board of administration,2012,2014
180s,2005-04-04,2019-05-01,14.072553045859001,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,patriarch partners,merger/acquisition,,,,,2005,2019
1st mariner bank,2014-06-17,2018-03-01,3.704312114989733,SingleEntrySingleExit,buyout/lbo,distressed acquisition,,18.72,"gcp capital partners(boris gutin), patriot financial partners(michael high), priam properties, rkjs bank",merger/acquisition,,,173.8,howard bank(mary scully),2014,2018
3 day blinds,2015-01-01,2019-12-04,4.922655715263518,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,,aldermanbury investments,merger/acquisition,,,,hunter douglas,2015,2019
30dc (immediate edge business unit),2014-03-05,2022-02-01,7.912388774811773,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,,the raine group,merger/acquisition,,,,,2014,2022
333 market street,2010-01-01,2013-01-04,3.0088980150581794,SingleEntrySingleExit,buyout/lbo,asset acquisition,,,,merger/acquisition,,,,columbia property trust(nelson mills),2010,2013
3gtms,2019-04-17,2025-03-24,5.935660506502396,SingleEntrySingleExit,buyout/lbo,,,87.0,sumeru equity partners(sanjeet mitra),merger/acquisition,,,115.0,descartes systems group (tse: dsg)(edward ryan),2019,2025
4 wheel parts,2006-02-14,2024-10-18,18.67488021902806,SingleEntrySingleExit,buyout/lbo,add-on,,,"irving place capital(bodil arlander), transamerican auto parts(george adler)",merger/acquisition,corporate divestiture,,45.0,off road warehouse,2006,2024
4front engineered solutions,2006-10-24,2012-12-24,6.168377823408624,SingleEntrySingleExit,buyout/lbo,management buyout,corporate divestiture,46.0,wynnchurch capital(jon kleinke),merger/acquisition,,,,assa abloy (sto: assa b)(johan molin),2006,2012
5 alarm music,2016-02-09,2024-10-21,8.698151950718685,SingleEntrySingleExit,buyout/lbo,add-on,corporate divestiture,,"anthem entertainment(robert ott), ontario teachers' pension plan(ziad hindo)",merger/acquisition,corporate divestiture,,,slipstream,2016,2024
600 california street,2014-11-17,2019-08-13,4.736481861738535,MultipleEntriesSingleExit,buyout/lbo,asset acquisition,secondary buyout,216.5,bentallgreenoak(david antonelli),merger/acquisition,,,,wework,2014,2019
930 wfmd,2019-06-01,2024-07-24,5.147159479808351,SingleEntrySingleExit,buyout/lbo,add-on,,,"connoisseur media, perot investments(steven blasnik)",merger/acquisition,corporate divestiture,,4.28,local daily media(adam crotty),2019,2024
99.9 the hawk,2013-07-01,2019-04-16,5.790554414784395,MultipleEntriesSingleExit,buyout/lbo,add-on,corporate divestiture,38.7,"balance point capital(seth alvord), connoisseur media(cameron maxwell)",merger/acquisition,corporate divestiture,,,cumulus media (pinx: cmls),2013,2019
a raymond tinnerman,2004-11-04,2009-11-09,5.0130047912388775,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,"ares management (nys: ares), berkshire partners, greenbriar equity group(joel beckman), pnc erieview capital",merger/acquisition,,,,araymond,2004,2009
a world of tile,2009-02-23,2021-10-01,12.602327173169062,MultipleEntriesSingleExit,buyout/lbo,management buyout,secondary buyout,,fc crestone,merger/acquisition,,,,,2009,2021
a.h. harris & sons,2015-06-03,2018-03-05,2.754277891854894,SingleEntrySingleExit,buyout/lbo,secondary buyout,recapitalization,,frontenac company(michael langdon),merger/acquisition,,,362.0,white cap,2015,2018
aaf flanders,2012-05-16,2016-04-27,3.9479808350444903,SingleEntrySingleExit,buyout/lbo,public to private,,192.0,insight equity(eliot kerlin),merger/acquisition,,,430.0,american air filter international(philip whitaker),2012,2016
aam,2007-12-21,2014-12-31,7.028062970568104,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,"kbw capital partners, stone point capital(fayez muhtadie)",merger/acquisition,,,,securian financial group(christopher hilger),2007,2014
aar aircraft services-miami,2002-03-01,2008-03-05,6.012320328542095,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,farragut capital partners,merger/acquisition,,,15.0,aar (nys: air)(david storch),2002,2008
aarrowcast,2012-08-14,2021-11-23,9.27583846680356,SingleEntrySingleExit,buyout/lbo,secondary buyout,,84.3,"industrial opportunity partners(adam gottlieb), yukon partners(michael hall)",merger/acquisition,,,,charter manufacturing(john mellowes),2012,2021
aavid thermal technologies,2000-02-02,2006-02-16,6.039698836413415,SingleEntrySingleExit,buyout/lbo,public to private,,260.0,willis stein & partners(daniel blumenthal),merger/acquisition,,,565.0,ansys,2000,2006
abaco systems,2015-09-01,2021-04-29,5.6591375770020536,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,515.0,veritas capital fund management,merger/acquisition,,,1344.5,ametek (nys: ame)(david zapico),2015,2021
abatix,2012-09-25,2021-12-01,9.182751540041068,SingleEntrySingleExit,buyout/lbo,public to private,,,3k(peter kamin),merger/acquisition,,,,,2012,2021
abc-naco (flow and specialty products),2001-05-01,2017-07-01,16.16700889801506,SingleEntrySingleExit,buyout/lbo,management buyout,corporate divestiture,24.0,ing furman selz investments,merger/acquisition,,,,,2001,2017
aberdeen group,2015-04-14,2020-11-23,5.6125941136208075,SingleEntryMultipleExits,buyout/lbo,management buy-in,corporate divestiture,,halyard capital(jonathan barnes),merger/acquisition,,,,spiceworks ziff davis(richard jalichandra),2015,2020
abode healthcare,2019-08-28,2021-04-16,1.6344969199178645,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,,summit partners(darren black),merger/acquisition,,,749.2,brightspring health services (nas: btsg)(jon rousseau),2019,2021
accelerated production systems,2012-01-11,2014-10-01,2.7214236824093088,SingleEntrySingleExit,buyout/lbo,secondary buyout,recapitalization,29.5,"riata capital group, white deer energy",merger/acquisition,,,435.7,dover (machinery (b2b)) (nys: dov),2012,2014
accent food services,2016-11-30,2022-02-18,5.218343600273785,SingleEntrySingleExit,buyout/lbo,management buyout,secondary buyout,,"audax private equity(geoffrey rehnert), fidus capital",merger/acquisition,,,116.0,sodexo (par: sw)(sarosh mistry),2016,2022
accenthealth,2008-09-09,2016-12-30,8.306639288158795,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,,"m/c partners(john watkins), ridgemont equity partners(craig elson)",merger/acquisition,,,,outcome health(rishi shah),2008,2016
acceris communications,2005-10-03,2007-03-22,1.4647501711156743,SingleEntrySingleExit,buyout/lbo,,,,north central equity(elam baer),merger/acquisition,,,,first communications(raymond hexamer),2005,2007
access scientific,2012-11-07,2020-05-12,7.509924709103354,SingleEntrySingleExit,buyout/lbo,,,,endeavour capital(mark dorman),merger/acquisition,,,,smiths medical(jehanzeb noor),2012,2020
access self storage (colorado springs facility),2010-01-08,2019-11-01,9.81245722108145,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,,equity based services(stephen kaplan),merger/acquisition,,,,,2010,2019
access systems integration,2015-04-13,2018-08-09,3.323750855578371,SingleEntryMultipleExits,buyout/lbo,management buyout,corporate divestiture,,midcap advisors,merger/acquisition,,,,adt (it security company) (nys: adt)(james devries),2015,2018
acclaim advanced manufacturing,2017-01-01,2019-09-01,2.6639288158795345,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,,premo ventures,merger/acquisition,,,,,2017,2019
acco material handling solutions,2013-11-22,2022-02-01,8.19438740588638,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,,kohlberg kravis roberts (nys: kkr)(peter stavros),merger/acquisition,,,,,2013,2022
accountdock,2016-01-01,2024-07-01,8.498288843258042,SingleEntrySingleExit,buyout/lbo,,,,xenon partners,merger/acquisition,,,,,2016,2024
accretive solutions,2010-04-14,2017-12-04,7.641341546885695,SingleEntrySingleExit,buyout/lbo,secondary buyout,recapitalization,,"goldentree capital, saybrook capital(jonathan rosenthal)",merger/acquisition,,,31.8,resources connection (nas: rgp)(kate duchene),2010,2017
accriva diagnostics,2010-11-04,2017-01-19,6.209445585215605,SingleEntrySingleExit,buyout/lbo,corporate divestiture,acquisition financing,55.0,warburg pincus,merger/acquisition,,,380.0,instrumentation laboratory(ramon benet),2010,2017
accruent,2016-05-16,2018-09-11,2.321697467488022,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,,"carlyle alpinvest, genstar capital(eli weiss)",merger/acquisition,,,1993.4,fortive (nys: ftv)(james lico),2016,2018
accu-mold,2013-01-08,2019-02-01,6.064339493497604,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,,mno-bmadsen(troland clay),merger/acquisition,,,,,2013,2019
accumed technologies,2014-10-22,2016-12-21,2.1656399726214923,SingleEntrySingleExit,buyout/lbo,,,,"mvc capital bdc(peter seidenberg), yukon partners(william dietz)",merger/acquisition,,,149.0,lear (nys: lea)(doug moeller),2014,2016
accumen,2019-01-16,2024-10-22,5.765913757700205,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,arsenal capital partners(barry porter),merger/acquisition,,,,hc1 insights(bradley bostic),2019,2024
accurate forming,2010-08-01,2018-03-01,7.581108829568788,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,,"artemis holdings group, prairie capital",merger/acquisition,,,,,2010,2018
accuride,2005-01-28,2005-04-26,0.24093086926762491,MultipleEntriesSingleExit,pe growth/expansion,,,1058.0,"cetus capital, littlejohn & co., tinicum, trimaran capital partners",ipo,,,99.0,,2005,2005
ace products,2006-07-19,2006-08-10,0.06023271731690623,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,,tpg angelo gordon,merger/acquisition,,,,carlisle tire & wheel,2006,2006
acentia,2009-07-07,2015-04-01,5.73305954825462,SingleEntrySingleExit,buyout/lbo,secondary buyout,,13.25,"cnf investments, five points capital, truarc partners(ian snow)",merger/acquisition,,,293.5,maximus ( consulting services (b2b)) (nys: mms)(richard montoni),2009,2015
ackerman security systems,2015-05-19,2022-07-12,7.148528405201916,SingleEntrySingleExit,buyout/lbo,secondary buyout,,58.19,"imperial capital group(jeffrey rosenthal), opseu pension trust(sandra bosela)",merger/acquisition,,,,intrusion protection systems(tyson searle),2015,2022
aclara technologies,2014-03-28,2018-02-02,3.8521560574948666,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,130.0,sun capital partners(marc leder),merger/acquisition,,,1100.0,hubbell (electrical equipment) (nys: hubb)(david nord),2014,2018
acme cryogenics,2016-04-22,2021-12-16,5.650924024640657,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,graham partners,merger/acquisition,,,295.0,dover (machinery (b2b)) (nys: dov)(richard tobin),2016,2021
acme electric,2000-11-22,2015-01-21,14.16290212183436,SingleEntrySingleExit,buyout/lbo,add-on,public to private,56.7,"kelso & company(philip berney), key components, ramius",merger/acquisition,,,67.4,hubbell (electrical equipment) (nys: hubb),2000,2015
acqueon technologies,2022-10-13,2024-08-27,1.8726899383983573,SingleEntrySingleExit,buyout/lbo,,,,long ridge equity partners(andrew cedar),merger/acquisition,,,173.83,five9 (nas: fivn)(michael burkland),2022,2024
acsis,2008-05-07,2022-02-14,13.774127310061601,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,saints capital(kenneth sawyer),merger/acquisition,,,12.0,antares vision (mil: av)(emidio zorzella),2008,2022
actagro,2011-12-30,2019-03-15,7.2060232717316905,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,"nmp capital, norwest equity partners(todd solow)",merger/acquisition,,,340.0,nutrien (tse: ntr)(charles magro),2011,2019
actian,2005-10-07,2018-07-18,12.777549623545516,SingleEntrySingleExit,buyout/lbo,,,,garnett & helfrich capital(terence garnett),merger/acquisition,,,330.0,"hcl technologies (nse: hcltech)(c vijayakumar), sumeru equity partners(george kadifa)",2005,2018
action compaction services,2017-02-14,2022-04-15,5.163586584531143,SingleEntrySingleExit,buyout/lbo,management buyout,add-on,,"bestige holdings(shawn hassel), compactor rentals of america, millbrook capital management",merger/acquisition,corporate divestiture,,,fleetgenius,2017,2022
active aero,2011-05-25,2014-08-27,3.2580424366872007,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,platinum equity(mark barnhill),merger/acquisition,,,118.0,roadrunner transportation services (pinx: rrts),2011,2014
active minerals international,2018-11-19,2024-06-04,5.541409993155373,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,,golden gate capital(david thomas),merger/acquisition,,,,j.m. huber,2018,2024
active network,2013-11-15,2017-09-01,3.7946611909650922,SingleEntryMultipleExits,buyout/lbo,public to private,,1050.0,vista equity partners(james ford),merger/acquisition,,,1171.0,global payments (nys: gpn)(jeffrey sloan),2013,2017
activeradar,2016-02-15,2023-11-06,7.723477070499658,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,,kinderhook industries(christopher flood),merger/acquisition,,,,surescripts(frank harvey),2016,2023
activision blizzard,2013-10-11,2023-10-13,10.004106776180699,SingleEntryMultipleExits,buyout/lbo,management buyout,recapitalization,8200.0,"cercano management, davis advisers, leonard green & partners(peter nolan), tencent holdings (hkg: 00700)",merger/acquisition,,,75408.0,microsoft (nas: msft)(satya nadella),2013,2023
acton mobile,2014-08-26,2017-12-20,3.3182751540041067,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,,prophet equity(ross gatlin),merger/acquisition,corporate divestiture,,237.1,willscot (nas: wsc)(bradley soultz),2014,2017
acuant,2018-09-24,2021-12-07,3.2032854209445585,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,"audax private equity(geoffrey rehnert), r136 ventures",merger/acquisition,,,736.0,idology (network management software),2018,2021
acushnet holdings (nys: golf),2011-07-29,2016-10-28,5.25119780971937,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,1225.0,"blackstone (nys: bx), cdib capital international, korea development bank, mirae asset global investments, misto holdings (krx: 081660)(gene yoon), national pension service, woori pe asset management",ipo,,,328.67,,2011,2016
additech,2018-10-25,2023-10-16,4.974674880219028,SingleEntrySingleExit,buyout/lbo,,,,osgood capital(joseph levy),merger/acquisition,,,,,2018,2023
adenza,2021-07-22,2023-11-01,2.2778918548939084,SingleEntrySingleExit,buyout/lbo,secondary buyout,,3750.0,thoma bravo(brian jaffee),merger/acquisition,,,10500.0,nasdaq (nas: ndaq)(adena friedman),2021,2023
aderant holdings,2012-12-20,2015-10-21,2.833675564681725,MultipleEntriesSingleExit,pe growth/expansion,recapitalization,,,"american capital, madison dearborn partners(douglas grissom)",merger/acquisition,,,675.0,roper technologies (nas: rop)(brian jellison),2012,2015
adesa (automotive),2007-04-20,2022-05-09,15.052703627652292,SingleEntryMultipleExits,buyout/lbo,add-on,public to private,3228.0,"goldman sachs asset management(hugues lepic), kelso & company(michael goldberg), openlane (media and information services (b2b)) (nys: kar), parthenon capital partners(david ament), valueact capital management(peter kamin)",merger/acquisition,corporate divestiture,,2195.0,carvana (nys: cvna)(ernest garcia),2007,2022
adhesion wealth,2018-11-21,2022-12-14,4.0629705681040384,SingleEntrySingleExit,buyout/lbo,add-on,,,"summit partners(christopher dean), vestmark(john lunny)",merger/acquisition,corporate divestiture,,46.86,assetmark financial holdings(natalie wolfsen),2018,2022
admiral permian resources,2018-04-23,2022-03-09,3.8767967145790556,SingleEntrySingleExit,buyout/lbo,,,,"ares management (nys: ares), ssg capital management",merger/acquisition,,,,petro-hunt(douglas hunt),2018,2022
adobe marketo engage,2016-08-16,2018-10-31,2.206707734428474,SingleEntryMultipleExits,buyout/lbo,public to private,,1790.0,vista equity partners(brian sheth),merger/acquisition,,,4736.0,adobe (multimedia and design software) (nas: adbe)(bradley rencher),2016,2018
adplex,2005-01-01,2012-06-01,7.41409993155373,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,norwest equity partners,merger/acquisition,,,,,2005,2012
adt (it security company) (nys: adt),2016-05-02,2018-01-19,1.7166324435318274,SingleEntrySingleExit,buyout/lbo,public to private,,7000.0,"apollo asset management (nys: apo)(joshua harris), atp private equity partners, fisher lynch capital, koch equity development",ipo,,,1470.0,,2016,2018
adv envr rcyl a,2011-03-21,2017-05-01,6.113620807665982,SingleEntrySingleExit,buyout/lbo,management buyout,recapitalization,,h.i.g. capital(michael phillips),merger/acquisition,public to private,,117.0,oldcastle apg(tim ortman),2011,2017
advance health (usa),2017-12-21,2017-12-22,0.0027378507871321013,SingleEntrySingleExit,buyout/lbo,secondary buyout,recapitalization,,new mountain capital(matthew holt),merger/acquisition,,,,signify health,2017,2017
advanced composite materials,2006-07-26,2016-10-13,10.217659137577002,SingleEntryMultipleExits,buyout/lbo,management buyout,corporate divestiture,,"capitala group, eagle private capital",merger/acquisition,,,0.27,haydale graphene industries (lon: hayd),2006,2016
advanced composite materials,2006-07-26,2019-01-01,12.435318275154003,SingleEntryMultipleExits,buyout/lbo,management buyout,corporate divestiture,,"capitala group, eagle private capital",merger/acquisition,corporate divestiture,,,morgan advanced materials (lon: mgam),2006,2019
advanced disposal,2006-08-24,2016-10-06,10.119096509240247,SingleEntryMultipleExits,buyout/lbo,secondary buyout,recapitalization,,"highstar capital(christopher lee), opseu pension trust",ipo,,,346.5,,2006,2016
advanced disposal,2006-08-24,2020-10-30,14.184804928131417,SingleEntryMultipleExits,buyout/lbo,secondary buyout,recapitalization,,"highstar capital(christopher lee), opseu pension trust",merger/acquisition,public to private,,4600.0,waste management (nys: wm)(james fish),2006,2020
advanced drainage systems (nys: wms),2010-09-28,2014-07-25,3.8220396988364134,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,american securities(david horing),ipo,,,232.0,,2010,2014
advanced joining technologies,2005-01-01,2012-07-30,7.575633127994524,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,,treadstone partners(stephen massanelli),merger/acquisition,corporate divestiture,,,,2005,2012
advanced network solutions,2015-09-23,2020-09-16,4.982888432580425,SingleEntrySingleExit,buyout/lbo,secondary buyout,add-on,,"council capital, quad-c management(timothy billings), vaco(jerry bostelman)",merger/acquisition,,,,the ame group(mark gerkin),2015,2020
advanced refreshment,2013-03-01,2014-01-13,0.8706365503080082,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,,"cpp investments(andre bourbonnais), kainos capital",merger/acquisition,,,65.0,niagara bottling,2013,2014
advanced technology services (ats),2007-12-31,2016-01-01,8.002737850787133,SingleEntrySingleExit,buyout/lbo,secondary buyout,recapitalization,85.0,westview capital partners(carlo von schroeter),merger/acquisition,,,,,2007,2016
advanstar communications,2007-05-31,2014-12-19,7.553730321697468,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,1150.0,"citigroup alternative investments, goldpoint partners, vss capital partners(scott troeller)",merger/acquisition,,,938.63,united business media(timothy cobbold),2007,2014
advantage 24/7,2010-12-30,2023-09-01,12.670773442847365,SingleEntrySingleExit,buyout/lbo,,,0.1,,merger/acquisition,,,,,2010,2023
advantage funding management co.,2015-07-31,2018-04-02,2.6721423682409307,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,,macquarie asset management,merger/acquisition,corporate divestiture,,502.1,sterling national bank(jack kopnisky),2015,2018
advantage rent a car,2009-04-09,2012-12-13,3.679671457905544,MultipleEntriesMultipleExits,buyout/lbo,add-on,corporate divestiture,33.0,"clayton, dubilier & rice, hertz (nas: htz), north cove partners, the carlyle group (nas: cg)",merger/acquisition,corporate divestiture,,360.0,"franchise services of north america, macquarie asset management",2009,2012
advantage solutions (bpo/outsource services) (nas: adv),2014-09-29,2020-10-28,6.080766598220397,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,4200.0,"cvc capital partners (ams: cvc)(christopher stadler), juggernaut capital partners, leonard green & partners(jonathan sokoloff)",reverse merger,,,5200.0,conyers park ii acquisition,2014,2020
adventure sports network,2019-02-01,2022-12-13,3.863107460643395,SingleEntrySingleExit,buyout/lbo,add-on,corporate divestiture,,"a360 media(david pecker), apollo asset management (nys: apo), chatham asset management, omega advisors",merger/acquisition,corporate divestiture,,,the arena group holdings (ase: aren)(ross levinsohn),2019,2022
aearo technologies,2006-03-23,2008-04-01,2.026009582477755,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,804.03,permira,merger/acquisition,,,1207.0,3m (nys: mmm)(george buckley),2006,2008
aegis global,2017-11-08,2018-07-20,0.6954140999315537,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,300.0,capital square partners(sanjay chakrabarty),merger/acquisition,corporate divestiture,,110.5,startek(chad carlson),2017,2018
aegis security insurance group,2013-05-01,2021-01-20,7.723477070499658,SingleEntrySingleExit,buyout/lbo,add-on,corporate divestiture,,"endeavour capital(leland jones), k2 insurance services(robert kimmel)",merger/acquisition,corporate divestiture,,,skyward specialty insurance group (nas: skwd),2013,2021
aera energy,2023-02-28,2024-07-01,1.3388090349075976,SingleEntrySingleExit,buyout/lbo,,,4000.0,"brookfield oaktree holdings, cpp investments(bruce hogg), ikav(constantin von wasserschleben)",merger/acquisition,,,2144.0,california resources (nys: crc)(francisco leon),2023,2024
aero products,2002-11-05,2010-10-01,7.904175222450377,SingleEntrySingleExit,buyout/lbo,secondary buyout,,230.0,investcorp(steven puccinelli),merger/acquisition,,,,the coleman company(sam solomon),2002,2010
aerocare holdings,2016-04-08,2021-02-01,4.818617385352498,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,"peloton equity(theodore lundberg), sv health investors",merger/acquisition,,,2431.0,adapthealth (nas: ahco)(luke mcgee),2016,2021
aerodynamics,2011-08-18,2015-07-14,3.9041752224503763,SingleEntryMultipleExits,buyout/lbo,management buy-in,,,scott beale(scott beale),merger/acquisition,,,,,2011,2015
aerodynamics,2011-08-18,2017-11-25,6.272416153319644,SingleEntryMultipleExits,buyout/lbo,management buy-in,,,scott beale(scott beale),merger/acquisition,,,,california pacific airlines,2011,2017
aeroflex,2007-08-15,2010-11-19,3.263518138261465,SingleEntryMultipleExits,buyout/lbo,public to private,,1185.47,"golden gate capital(john knoll), the goldman sachs group (nys: gs)(bradley gross), veritas capital fund management",ipo,,,232.88,,2007,2010
aeroflex,2007-08-15,2014-09-15,7.085557837097878,SingleEntryMultipleExits,buyout/lbo,public to private,,1185.47,"golden gate capital(john knoll), the goldman sachs group (nys: gs)(bradley gross), veritas capital fund management",merger/acquisition,,,920.0,cobham(bob murphy),2007,2014
aerosoles,2014-06-09,2022-01-19,7.613963039014374,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,"first eagle alternative credit, palladin consumer retail partners(mark schwartz)",merger/acquisition,,,,american exchange group(alen mamrout),2014,2022
aerospace precision,2011-03-24,2016-08-01,5.3579739904175225,SingleEntrySingleExit,buyout/lbo,,,,"cotton creek capital, stony point group(david nolletti)",merger/acquisition,,,,,2011,2016
aerospace products international,2013-03-20,2018-01-01,4.785763175906913,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,,"directional aviation capital, resilience capital partners(steven rosen)",merger/acquisition,,,,,2013,2018
aerospace products international,2013-03-20,2024-06-25,11.266255989048597,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,,"directional aviation capital, resilience capital partners(steven rosen)",merger/acquisition,,,,aeromed group(bob spence),2013,2024
aesynt,2013-11-04,2016-01-05,2.1683778234086244,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,52.0,francisco partners(christopher adams),merger/acquisition,,,271.5,omnicell (nas: omcl)(randall lipps),2013,2016
aesynt,2013-11-04,2021-01-01,7.1594798083504445,SingleEntryMultipleExits,buyout/lbo,corporate divestiture,,52.0,francisco partners(christopher adams),merger/acquisition,corporate divestiture,,,mckesson (nys: mck),2013,2021
aeyon,2021-09-30,2024-09-13,2.954140999315537,SingleEntryMultipleExits,buyout/lbo,,,,enlightenment capital(robert dowling),merger/acquisition,,,400.0,cgi group (tse: gib.a)(stephanie mango),2021,2024
affinity apparel,2013-12-01,2020-12-01,7.000684462696783,SingleEntrySingleExit,buyout/lbo,,,,resilience capital partners,merger/acquisition,,,,,2013,2020
affordable interior systems,2007-10-15,2012-08-24,4.85968514715948,SingleEntrySingleExit,buyout/lbo,secondary buyout,,100.0,audax private equity,merger/acquisition,,,,haworth (home furnishings)(todd james),2007,2012
afs technologies (florida),2018-10-17,2020-08-19,1.839835728952772,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,,stg partners(william chisholm),merger/acquisition,,,315.0,telus (tse: t),2018,2020
after six,2008-02-21,2011-03-28,3.0965092402464065,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,,"convergent capital, the anderson group(barry shapiro)",merger/acquisition,,,,the dessy group,2008,2011
aftermath services,2019-04-26,2024-05-01,5.01574264202601,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,abry partners(brian st. jean),merger/acquisition,,,,,2019,2024
ag ferrari foods,2013-07-01,2019-01-01,5.503080082135524,SingleEntryMultipleExits,buyout/lbo,secondary buyout,,,murano group(jay thomson),merger/acquisition,,,,,2013,2019
ag ferrari foods,2013-07-01,2020-10-01,7.252566735112937,SingleEntryMultipleExits,buyout/lbo,secondary buyout,,,murano group(jay thomson),merger/acquisition,,,,lucky belly,2013,2020
agilex flavors and fragrances,2012-12-19,2017-07-11,4.558521560574949,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,70.0,"aea investors, midocean partners(robert sharp)",merger/acquisition,,,,firmenich(gilbert ghostine),2012,2017
agilex supply chain,2017-03-09,2018-07-01,1.3114305270362765,SingleEntrySingleExit,buyout/lbo,management buyout,corporate divestiture,,balmoral funds(robin nourmand),merger/acquisition,,,,,2017,2018
agiliti health,2007-06-04,2021-04-26,13.894592744695414,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,recapitalization,712.0,"harbour point capital(robert juneja), irving place capital(robert juneja)",ipo,,,368.42,,2007,2021
agridient,2017-04-04,2019-01-01,1.7440109514031485,SingleEntrySingleExit,buyout/lbo,management buyout,corporate divestiture,,nimbus (netherlands)(alexander de haas),merger/acquisition,,,,,2017,2019
aicent,2011-09-29,2014-08-04,2.847364818617385,SingleEntrySingleExit,buyout/lbo,,,,ta associates management(jason werlin),merger/acquisition,,,292.0,syniverse technologies,2011,2014
air comm corporation,2021-07-01,2022-07-19,1.0485968514715949,SingleEntrySingleExit,buyout/lbo,,,455.0,,merger/acquisition,,,,ace thermal systems,2021,2022
air international thermal systems,2008-08-31,2015-09-30,7.080082135523614,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,,unitas capital(john lewis),merger/acquisition,,,,aotecar new energy technology company (she: 002239)(zhang yongming),2008,2015
air relief,2016-07-15,2024-01-01,7.4633812457221085,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,,pelican energy partners(michael scott),merger/acquisition,,,,,2016,2024
airoom,2009-01-01,2021-04-01,12.24640657084189,SingleEntrySingleExit,buyout/lbo,management buyout,secondary buyout,,new trier capital partners,merger/acquisition,,,,,2009,2021
airvana,2010-04-12,2015-10-01,5.470225872689938,SingleEntryMultipleExits,buyout/lbo,public to private,,530.0,"bain capital credit, blackstone credit and insurance, sac private capital group, siris capital group(roderick randall), zmc(andrew vogel)",merger/acquisition,,,45.1,commscope holding company (nas: comm)(marvin edwards),2010,2015
airxcel,2018-04-27,2021-09-01,3.34839151266256,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,640.0,"constitution capital partners, l catterton(marc magliacano)",merger/acquisition,,,745.08,thor industries (nys: tho)(colleen zuhl),2018,2021
