Company,EntryDate,ExitDate,HoldingYears,PairingNotes,Entry_DealType,Entry_DealType2,Entry_DealType3,Entry_DealSize,Entry_Sponsor,Exit_DealType,Exit_DealType2,Exit_DealType3,Exit_DealSize,Exit_Sponsor,EntryYear,ExitYear
integrated circuit systems,1999-01-20,2000-05-23,1.3388090349075976,SingleEntryMultipleExits,buyout/lbo,public to private,management buyout,264.0,"bain capital, bain capital ventures, bear stearns, intel (nas: intc), irving place capital, randolph street partners",ipo,,,162.5,,1999,2000
integrated circuit systems,1999-01-20,2005-09-22,6.672142368240931,SingleEntryMultipleExits,buyout/lbo,public to private,management buyout,264.0,"bain capital, bain capital ventures, bear stearns, intel (nas: intc), irving place capital, randolph street partners",merger/acquisition,,,1700.0,renesas electronics america(gregory waters),1999,2005
integrated manufacturing group,2016-06-22,2021-11-19,5.409993155373032,MultipleEntriesSingleExit,buyout/lbo,management buyout,secondary buyout,,addison capital partners(brian miller),merger/acquisition,,,269.5,ichor holdings (nas: ichr)(jeffrey andreson),2016,2021
integrated microwave technologies,2014-11-03,2016-01-29,1.2375085557837098,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,,skyview capital(alex soltani),merger/acquisition,,,3.0,vislink technologies (pinx: visl)(george schmitt),2014,2016
integrated silicon solution,2015-12-07,2019-11-01,3.9014373716632442,SingleEntrySingleExit,buyout/lbo,public to private,,765.0,"etown memtek, hua capital management, huaquing jiye investment management, summitview capital(jianyue pan), terra magnum capital partners",merger/acquisition,,,,ingenic (she: 300223),2015,2019
integrity music,2004-07-12,2011-06-01,6.885694729637235,SingleEntrySingleExit,buyout/lbo,public to private,management buyout,,,merger/acquisition,,,,david c cook(john aden),2004,2011
inteliquent,2016-05-04,2021-12-09,5.598904859685147,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,800.0,,merger/acquisition,,,1178.99,sinch (sto: sinch)(oscar werner),2016,2021
intelligrated,2012-07-31,2016-08-30,4.082135523613963,SingleEntrySingleExit,buyout/lbo,secondary buyout,,515.0,permira(richard carey),merger/acquisition,,,1488.0,honeywell (nas: hon)(alex ismail),2012,2016
interactive data,2010-07-29,2015-12-14,5.377138945927447,SingleEntrySingleExit,buyout/lbo,public to private,,3400.0,"silver lake(michael bingle), stockwell capital, teacher retirement system of texas, warburg pincus(cary davis)",merger/acquisition,,,5800.0,intercontinental exchange (nys: ice)(jeffrey sprecher),2010,2015
intercell,2010-03-02,2012-12-16,2.7926078028747434,SingleEntryMultipleExits,buyout/lbo,,,,lfg europe,merger/acquisition,,,,valneva (par: vla),2010,2012
interface performance materials,2011-12-21,2018-08-31,6.694045174537988,MultipleEntriesSingleExit,buyout/lbo,secondary buyout,,,wind point partners(nathan brown),merger/acquisition,,,268.37,lydall(dale barnhart),2011,2018
interfolio,2019-01-01,2022-06-07,3.430527036276523,SingleEntrySingleExit,buyout/lbo,,,110.0,insight partners (new york)(ross devor),merger/acquisition,,,,elsevier(theo pillay),2019,2022
intergraph,2006-11-29,2010-07-01,3.586584531143053,SingleEntrySingleExit,buyout/lbo,public to private,,1300.0,"hellman & friedman(david tunnell), jmi equity, tpg (nas: tpg)(john marren), valueact capital management",merger/acquisition,,,2125.0,hexagon (sto: hexa b)(ola rollén),2006,2010
interline brands,2000-05-16,2004-12-16,4.58590006844627,MultipleEntriesMultipleExits,buyout/lbo,public to private,,300.8,"allied capital, bancboston capital, blackstone (nys: bx), ccmp capital advisors(christopher behrens), cinnaire, citizens capital, cyprium partners, general motors investment management corporation, j.p. morgan, mellon ventures, navigation capital partners, parthenon capital partners, pnc erieview capital, sterling investment partners(charles santoro), svoboda capital partners",ipo,,,187.5,,2000,2004
interline brands,2012-09-07,2015-08-24,2.9596167008898013,MultipleEntriesMultipleExits,buyout/lbo,public to private,,1100.0,"goldman sachs asset management(sanjeev mehra), p2 capital partners(claus moller), the family office company",merger/acquisition,,,1672.0,the home depot (nys: hd)(craig menear),2012,2015
interlink,2017-02-01,2023-01-11,5.94113620807666,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,,stonecastle partners(stephen rotella),merger/acquisition,,,157.65,webster financial (nys: wbs)(john ciulla),2017,2023
intermedix,2010-08-23,2018-02-26,7.512662559890486,SingleEntrySingleExit,buyout/lbo,corporate divestiture,,564.0,"audax private equity(young lee), darshan capital, thomas h. lee partners(todd abbrecht)",merger/acquisition,,,460.0,r1 rcm(joseph flanagan),2010,2018
international architectural group,2007-04-02,2011-06-24,4.227241615331964,SingleEntrySingleExit,buyout/lbo,public to private,,228.0,genstar capital,merger/acquisition,,,8.0,universal molding,2007,2011
international medical group,2015-11-03,2017-05-26,1.5605749486652978,SingleEntrySingleExit,buyout/lbo,secondary buyout,,139.0,abry partners(brent stone),merger/acquisition,,,400.8,sirius international insurance group(allan waters),2015,2017
international wholesale tile,2008-01-29,2022-10-17,14.715947980835045,SingleEntrySingleExit,buyout/lbo,secondary buyout,,,vtp capital partners(matthew galvez),merger/acquisition,,,22.8,victoria (lon: vcp)(andrew harrison),2008,2022
internet pipeline,2015-08-04,2019-08-23,4.05201916495551,SingleEntrySingleExit,buyout/lbo,,,385.1,thoma bravo(holden spaht),merger/acquisition,,,1625.0,roper technologies (nas: rop)(l. neil hunn),2015,2019
interstate restoration,2015-10-01,2019-06-21,3.7207392197125255,SingleEntrySingleExit,buyout/lbo,management buyout,secondary buyout,,"delos capital(matthew constantino), waypoint capital partners",merger/acquisition,,,505.0,firstservice (tse: fsv)(jeremy rakusin),2015,2019
