count,mean,std,min,25%,50%,75%,max
3.0,3.845767738991558,2.602199110804038,1.5441478439425051,2.433949349760438,3.323750855578371,4.996577686516085,6.669404517453799
6.0,7.114305270362764,5.356586628404382,3.167693360711841,4.01574264202601,5.464750171115674,6.958932238193019,17.598904859685145
5.0,6.440520191649556,5.362036766492483,3.186858316221766,3.6878850102669403,4.602327173169062,4.763860369609857,15.961670088980151
3.0,3.1549167237052242,1.6407296598060974,1.2621492128678986,2.6461327857631756,4.030116358658453,4.101300479123887,4.172484599589322
3.0,7.103810175678759,3.780786897932318,3.9671457905544147,5.004791238877481,6.0424366872005475,8.67214236824093,11.301848049281315
4.0,3.7474332648870634,2.8330652139329833,1.5003422313483916,2.4161533196440796,2.7967145790554415,4.127994524298426,7.8959616700889805
5.0,6.93223819301848,5.404609685573747,2.5872689938398357,2.6064339493497606,6.442162902121835,7.208761122518823,15.816563997262149
3.0,4.1505817932922655,2.0252491311990206,2.321697467488022,3.0622861054072557,3.802874743326489,5.065023956194388,6.327173169062286
5.0,8.689390828199862,3.2340846633272617,4.139630390143737,6.921286789869952,9.522245037645447,10.365503080082135,12.498288843258042
3.0,7.749942961441935,1.8300322507714653,5.722108145106092,6.985626283367557,8.24914442162902,8.763860369609855,9.27857631759069
3.0,4.521104266484143,3.860531094367922,1.1745379876796715,2.409308692676249,3.6440793976728267,6.1943874058863795,8.744695414099931
3.0,7.832991101984942,3.026766793614483,4.418891170431212,6.655715263518138,8.892539356605065,9.540041067761807,10.18754277891855
3.0,2.565366187542779,1.0681864404247436,1.374401095140315,2.128678986995209,2.8829568788501025,3.160848733744011,3.4387405886379194
4.0,2.5516769336071183,2.002566454867075,0.7282683093771389,1.4449007529089666,2.0547570157426422,3.1615331964407942,5.368925393566051
6.0,3.4583618526123665,1.3358528301578765,2.0698151950718686,2.6591375770020536,3.055441478439425,3.9815195071868583,5.752224503764545
5.0,4.827926078028748,0.6772559683512075,4.05201916495551,4.177960301163586,5.04312114989733,5.308692676249144,5.557837097878165
3.0,6.965092402464065,5.565173876382121,2.9596167008898013,3.7878165639972616,4.616016427104722,8.967830253251197,13.319644079397673
3.0,5.7075062742413865,3.7273979168720413,3.4442162902121836,3.5564681724845997,3.668720054757016,6.839151266255989,10.009582477754963
4.0,7.496919917864476,2.44967264418015,4.739219712525667,6.558521560574949,7.273100616016427,8.211498973305954,10.702258726899384
4.0,5.759753593429157,4.2977521920781125,1.4072553045859,3.306639288158795,5.065023956194388,7.518138261464751,11.501711156741958
