Entry_DealID,Entry_Company,Entry_DealDate,Entry_DealSize,Exit_DealID,Exit_Company,Exit_DealDate,Exit_DealSize,HasBothDates,HasBothSizes,EligibleForIRR,HoldingYears,IRR_XIRR,TotalDistributions,TotalGains,Exit_DealType,Exit_DealType2,Exit_DealType3,EntryYear
10156-78T,Dayforce (Business/Productivity Software) (NYS: DAY),2007-11-09,5300.0,243609-22T,Dayforce (Business/Productivity Software) (NYS: DAY),2018-04-26,531.3,True,True,True,10.461327857631758,-0.1973769176274538,0.0,531.3,IPO,PIPE,,2007
44860-42T,Informatica (NYS: INFA),2015-08-06,5300.0,181075-51T,Informatica (NYS: INFA),2021-10-27,841.0,True,True,True,6.225872689938399,-0.25597504805166865,0.0,841.0,IPO,,,2015
10306-99T,Sabre Corporation (NAS: SABR),2007-03-30,5300.0,31079-08T,Sabre Corporation (NAS: SABR),2014-04-17,627.2,True,True,True,7.049965776865161,-0.26119731459195045,0.0,627.2,IPO,PIPE,,2007
10415-80T,Neiman Marcus Group,2005-10-06,5100.0,265970-62T,Neiman Marcus Group,2024-12-23,2700.0,True,True,True,19.21423682409309,-0.032558221748471325,0.0,2700.0,Merger/Acquisition,,,2005
16029-19T,IMS Health Holdings,2010-02-26,5081.15,30197-80T,IMS Health Holdings,2013-05-09,947.37,True,True,True,3.1978097193702943,-0.40858392712888925,0.0,947.37,IPO,,,2010
16971-85T,Gates Industrial Corporation (NYS: GTES),2010-09-30,5000.0,99302-68T,Gates Industrial Corporation (NYS: GTES),2018-01-25,731.5,True,True,True,7.321013004791239,-0.23090830979052426,0.0,731.5,IPO,,,2010
26224-93T,Smithfield Foods (NAS: SFD),2013-09-26,4700.0,266861-17T,Smithfield Foods (NAS: SFD),2025-01-28,521.74,True,True,True,11.340177960301164,-0.17620810324847702,0.0,521.74,IPO,,,2013
58943-89T,SolarWinds,2016-02-05,4600.0,112057-21T,SolarWinds,2018-10-19,500.0,True,True,True,2.702258726899384,-0.5601142280968696,0.0,500.0,IPO,,,2016
22572-55T,Gardner Denver,2013-07-31,4564.15,83132-92T,Gardner Denver,2017-05-12,826.0,True,True,True,3.780971937029432,-0.36371205246679644,0.0,826.0,IPO,Debt Repayment,,2013
11492-74T,Orbitz,2006-08-24,4300.0,11475-46T,Orbitz,2007-07-20,510.0,True,True,True,0.9034907597535934,-0.9055506551533039,0.0,510.0,IPO,,,2006
73904-59T,Rackspace Technology (NAS: RXT),2016-11-03,4300.0,135301-69T,Rackspace Technology (NAS: RXT),2020-08-05,703.5,True,True,True,3.753593429158111,-0.3826290157394828,0.0,703.5,IPO,,,2016
89335-00T,Hayward Holdings (NYS: HAYW),2017-08-04,4090.07,166979-71T,Hayward Holdings (NYS: HAYW),2021-03-12,684.72,True,True,True,3.6030116358658453,-0.3910744588458161,0.0,684.72,IPO,,,2017
46581-58T,Life Time Group Holdings (NYS: LTH),2015-06-10,4060.0,180083-17T,Life Time Group Holdings (NYS: LTH),2021-10-07,702.0,True,True,True,6.327173169062286,-0.24223034170460497,0.0,702.0,IPO,,,2015
59670-28T,Lexmark International,2016-11-29,4000.0,273161-53T,Lexmark International,2025-07-01,1500.0,True,True,True,8.58590006844627,-0.10795366984868977,0.0,1500.0,Merger/Acquisition,,,2016
16894-45T,The Bountiful Company,2010-09-30,4000.0,171015-22T,The Bountiful Company,2021-08-09,5750.0,True,True,True,10.858316221765914,0.033986679999773055,0.0,5750.0,Merger/Acquisition,,,2010
17525-71T,CommScope Holding Company (NAS: COMM),2011-01-14,3900.0,26934-94T,CommScope Holding Company (NAS: COMM),2013-10-25,576.92,True,True,True,2.7789185489390826,-0.4972628160048782,0.0,576.92,IPO,,,2011
18950-32T,Pharmaceutical Product Development,2011-12-05,3900.0,129433-15T,Pharmaceutical Product Development,2020-02-06,1863.0,True,True,True,8.172484599589323,-0.08643385060307342,0.0,1863.0,IPO,,,2011
10605-97T,West Technology Group,2006-10-24,3838.33,16002-37T,West Technology Group,2013-03-22,425.5,True,True,True,6.409308692676249,-0.29048742512272857,0.0,425.5,IPO,,,2006
116350-48T,ICE Mortgage technology,2019-04-17,3700.0,140916-16T,ICE Mortgage technology,2020-09-04,11418.0,True,True,True,1.3853524982888432,1.2555842591624935,0.0,11418.0,Merger/Acquisition,,,2019
10537-84T,Bausch + Lomb (TSE: BLCO),2007-10-26,3670.0,26156-17T,Bausch + Lomb (TSE: BLCO),2013-08-07,8700.0,True,True,True,5.782340862422998,0.16098668288869125,0.0,8700.0,Merger/Acquisition,,,2007
13376-35T,CHC Helicopter (PINX: CHHCF),2008-09-16,3552.21,28688-95T,CHC Helicopter (PINX: CHHCF),2014-01-21,310.0,True,True,True,5.347022587268994,-0.3662466875799066,0.0,310.0,IPO,,,2008
11062-72T,Alterra Mountain,2006-10-26,3500.0,29633-23T,Alterra Mountain,2014-01-31,187.5,True,True,True,7.266255989048597,-0.3315442426086334,0.0,187.5,IPO,,,2006
10235-26T,Florida East Coast Railway,2007-07-26,3500.0,77074-66T,Florida East Coast Railway,2017-07-07,2100.0,True,True,True,9.949349760438055,-0.05004685242459611,0.0,2100.0,Merger/Acquisition,,,2007
34635-43T,Education Management,2006-06-01,3400.0,34636-15T,Education Management,2009-10-02,360.0,True,True,True,3.3374401095140316,-0.4897217394632579,0.0,360.0,IPO,,,2006
16298-47T,Interactive Data,2010-07-29,3400.0,49143-34T,Interactive Data,2015-12-14,5800.0,True,True,True,5.377138945927447,0.1044248015245117,0.0,5800.0,Merger/Acquisition,,,2010
10243-54T,Aleris,2006-12-19,3300.0,109347-94T,Aleris,2020-04-14,780.0,True,True,True,13.319644079397673,-0.10263291781842715,0.0,780.0,Merger/Acquisition,,,2006
11195-11T,Masonite,2005-04-06,3260.0,24727-96T,Masonite,2013-09-09,,True,False,False,8.427104722792608,,,,IPO,,,2005
18393-76T,LXR Luxury Resorts,2005-08-16,3240.0,153712-63T,LXR Luxury Resorts,2019-07-01,,True,False,False,13.872689938398358,,,,Merger/Acquisition,,,2005
10205-11T,Bloomin' Brands (NAS: BLMN),2007-06-14,3233.17,21136-96T,Bloomin' Brands (NAS: BLMN),2012-08-08,176.0,True,True,True,5.152635181382615,-0.4315842002881231,0.0,176.0,IPO,,,2007
10240-84T,ADESA (Automotive),2007-04-20,3228.0,189464-41T,ADESA (Automotive),2022-05-09,2195.0,True,True,True,15.052703627652292,-0.025296563577812705,0.0,2195.0,Merger/Acquisition,Corporate Divestiture,,2007
10287-28T,Trusted Media Brands,2007-03-02,3201.0,31652-29T,Trusted Media Brands,2014-02-16,,True,False,False,6.962354551676934,,,,Merger/Acquisition,,,2007
17779-51T,Envision Healthcare,2011-05-25,3200.0,25495-93T,Envision Healthcare,2013-08-13,1100.9,True,True,True,2.220396988364134,-0.3815599120598372,0.0,1100.9,IPO,,,2011
18838-36T,Change Healthcare,2011-11-02,3000.0,72266-95T,Change Healthcare,2016-06-28,4450.0,True,True,True,4.654346338124572,0.08840655936985924,0.0,4450.0,Merger/Acquisition,,,2011
140511-97T,Neustar,2017-08-08,2900.0,180030-07T,Neustar,2021-12-01,3100.0,True,True,True,4.314852840520191,0.015576299213414878,0.0,3100.0,Merger/Acquisition,,,2017
17809-03T,BJ's Wholesale Club (NYS: BJ),2011-09-30,2800.0,106041-79T,BJ's Wholesale Club (NYS: BJ),2018-06-28,637.5,True,True,True,6.743326488706366,-0.19703938822251651,0.0,637.5,IPO,,,2011
11676-07T,Graphic Packaging Holding (NYS: GPK),1996-03-27,2700.0,11675-89T,Graphic Packaging Holding (NYS: GPK),2003-08-08,,True,False,False,7.364818617385352,,,,Reverse Merger,,,1996
10823-68T,R.J. Reynolds Tobacco,1989-02-28,2640.0,127261-45T,R.J. Reynolds Tobacco,2000-01-01,,True,False,False,10.839151266255989,,,,Merger/Acquisition,Public to Private,,1989
10052-92T,La Quinta (Irving),2006-01-25,2280.0,29218-51T,La Quinta (Irving),2014-04-09,650.25,True,True,True,8.202600958247775,-0.1418259060308389,0.0,650.25,IPO,,,2006
72259-93T,Diamond Resorts International,2016-09-02,2226.0,168292-36T,Diamond Resorts International,2021-08-02,1400.0,True,True,True,4.914442162902122,-0.0900462236711501,0.0,1400.0,Merger/Acquisition,,,2016
10026-19T,Brickyard Healthcare,2006-03-14,2225.0,181954-00T,Brickyard Healthcare,2021-01-01,,True,False,False,14.803559206023271,,,,Merger/Acquisition,,,2006
10572-04T,Equity Inns,2007-10-24,2200.0,34500-16T,Equity Inns,2015-02-27,1925.0,True,True,True,7.345653661875428,-0.018014057528392514,0.0,1925.0,Merger/Acquisition,,,2007
10736-29T,Petco Health & Wellness Company (NAS: WOOF),2006-10-26,2180.0,160510-15T,Petco Health & Wellness Company (NAS: WOOF),2021-01-14,864.0,True,True,True,14.220396988364135,-0.06301031555235392,0.0,864.0,IPO,,,2006
10970-74T,Getty Images Holdings (NYS: GETY),2008-07-02,2135.0,184891-24T,Getty Images Holdings (NYS: GETY),2022-07-25,,True,False,False,14.061601642710473,,,,Reverse Merger,,,2008
112780-45T,Imperva,2019-01-10,2116.0,232346-89T,Imperva,2023-12-04,3700.0,True,True,True,4.898015058179329,0.12085088440588539,0.0,3700.0,Merger/Acquisition,,,2019
10010-53T,Insight Communications,2005-12-16,2100.0,18248-77T,Insight Communications,2012-02-29,3000.0,True,True,True,6.203969883641341,0.05917616678315103,0.0,3000.0,Merger/Acquisition,,,2005
10166-41T,Laureate Education (NAS: LAUR),2007-07-20,2100.0,58564-99T,Laureate Education (NAS: LAUR),2017-02-01,490.0,True,True,True,9.538672142368242,-0.14149868515149447,0.0,490.0,IPO,,,2007
10864-36T,Metaldyne Performance Group,2000-11-28,2056.0,10864-45T,Metaldyne Performance Group,2007-01-11,66.65,True,True,True,6.119096509240246,-0.42901199275971585,0.0,66.65,Merger/Acquisition,,,2000
117846-28T,Hexion,1994-12-22,2000.0,117848-17T,Hexion,2004-08-12,1200.0,True,True,True,9.639972621492129,-0.05161084549983342,0.0,1200.0,Merger/Acquisition,Corporate Divestiture,,1994
